Player_Name,Country,Start_Year,End_Year,Career_Length,Matches,Innings,Not_Outs,Runs,Highest_Score,Average,Balls_Faced,Strike_Rate,100,50,0,4s,6s,Was_Not_Out,Runs_per_Match,Batting_Efficiency,Boundary_Runs,Boundary_Percentage,100s_per_match,Playing_Style
DG Bradman,AUS,1928,1948,20,52,80,10,6996,334,99.94,15294.233333333334,58.6,29,13,7,626,6,False,134.53846153846155,87.45,2540,0.3630646083476272,0.5576923076923077,Balanced
HC Brook,ENG,2022,2023,1,12,20,1,1181,186,62.15,1287.0,91.76,4,7,1,141,23,False,98.41666666666667,59.05,702,0.594411515664691,0.3333333333333333,Balanced
AC Voges,AUS,2015,2016,1,20,31,7,1485,269,61.87,2667.0,55.68,5,4,2,186,5,True,74.25,47.903225806451616,774,0.5212121212121212,0.25,Balanced
RG Pollock,SA,1963,1970,7,23,41,4,2256,274,60.97,15294.233333333334,54.48,7,11,1,246,11,False,98.08695652173913,55.02439024390244,1050,0.4654255319148936,0.30434782608695654,Balanced
GA Headley,WI,1930,1954,24,22,40,4,2190,270,60.83,15294.233333333334,56.0,10,5,2,104,1,True,99.54545454545455,54.75,422,0.19269406392694063,0.45454545454545453,Balanced
GA Headley,WI,1930,1954,24,22,40,4,2190,270,60.83,15294.233333333334,56.0,10,5,2,104,1,True,99.54545454545455,54.75,422,0.19269406392694063,0.45454545454545453,Balanced
H Sutcliffe,ENG,1924,1935,11,54,84,9,4555,194,60.73,15294.233333333334,34.59,16,23,2,202,6,False,84.35185185185185,54.226190476190474,844,0.18529088913282107,0.2962962962962963,Defensive
E Paynter,ENG,1931,1939,8,20,31,5,1540,243,59.23,15294.233333333334,45.88,4,7,3,125,4,False,77.0,49.67741935483871,524,0.34025974025974026,0.2,Defensive
KF Barrington,ENG,1955,1968,13,82,131,15,6806,256,58.67,15294.233333333334,42.42,20,35,5,591,27,False,83.0,51.954198473282446,2526,0.37114310902145164,0.24390243902439024,Defensive
ED Weekes,WI,1948,1958,10,48,81,5,4455,207,58.61,15294.233333333334,50.015846153846155,15,19,6,258,2,False,92.8125,55.0,1044,0.23434343434343435,0.3125,Balanced
WR Hammond,ENG,1927,1947,20,85,140,16,7249,336,58.45,15294.233333333334,38.07,22,24,4,419,27,True,85.28235294117647,51.77857142857143,1838,0.2535522140984963,0.25882352941176473,Defensive
SPD Smith,AUS,2010,2023,13,104,185,22,9472,239,58.11,17690.0,53.54,32,40,9,1038,53,False,91.07692307692308,51.2,4470,0.4719172297297297,0.3076923076923077,Balanced
GS Sobers,WI,1954,1974,20,93,160,21,8032,365,57.78,15294.233333333334,53.58,26,30,12,593,32,True,86.36559139784946,50.2,2564,0.3192231075697211,0.27956989247311825,Balanced
GS Sobers,WI,1954,1974,20,93,160,21,8032,365,57.78,15294.233333333334,53.58,26,30,12,593,32,True,86.36559139784946,50.2,2564,0.3192231075697211,0.27956989247311825,Balanced
KC Sangakkara,SL,2000,2015,15,134,233,17,12400,319,57.4,22882.0,54.19,38,52,11,1491,51,False,92.53731343283582,53.21888412017167,6270,0.5056451612903226,0.2835820895522388,Balanced
JB Hobbs,ENG,1908,1930,22,61,102,7,5410,211,56.94,15294.233333333334,46.22,15,28,4,276,8,False,88.68852459016394,53.03921568627451,1152,0.21293900184842884,0.2459016393442623,Defensive
JB Hobbs,ENG,1908,1930,22,61,102,7,5410,211,56.94,15294.233333333334,46.22,15,28,4,276,8,False,88.68852459016394,53.03921568627451,1152,0.21293900184842884,0.2459016393442623,Defensive
CL Walcott,WI,1948,1960,12,44,74,7,3798,220,56.68,15294.233333333334,50.015846153846155,15,14,1,107,11,False,86.31818181818181,51.32432432432432,494,0.1300684570826751,0.3409090909090909,Balanced
L Hutton,ENG,1937,1955,18,79,138,15,6971,364,56.67,15294.233333333334,39.34,19,33,5,358,7,False,88.24050632911393,50.51449275362319,1474,0.21144742504662173,0.24050632911392406,Defensive
JH Kallis,ICC/SA,1995,2013,18,166,280,40,13289,224,55.37,28903.0,45.97,45,58,16,1488,97,False,80.05421686746988,47.46071428571429,6534,0.49168485213334334,0.2710843373493976,Defensive
GE Tyldesley,ENG,1921,1929,8,14,20,2,990,122,55.0,15294.233333333334,29.21,3,6,2,37,2,False,70.71428571428571,49.5,160,0.16161616161616163,0.21428571428571427,Defensive
KS Williamson,NZ,2010,2023,13,96,168,16,8263,251,54.36,16052.0,51.47,29,33,10,914,21,False,86.07291666666667,49.18452380952381,3782,0.4577030134333777,0.3020833333333333,Balanced
CA Davis,WI,1968,1973,5,15,29,5,1301,183,54.2,15294.233333333334,35.48,4,4,1,65,1,False,86.73333333333333,44.86206896551724,266,0.20445810914681015,0.26666666666666666,Defensive
VG Kambli,IND,1993,1995,2,17,21,1,1084,227,54.2,1823.0,59.46,4,3,3,124,6,False,63.76470588235294,51.61904761904762,532,0.4907749077490775,0.23529411764705882,Balanced
GS Chappell,AUS,1970,1984,14,87,151,19,7110,247,53.86,15294.233333333334,51.53,24,31,12,755,16,True,81.72413793103448,47.086092715231786,3116,0.4382559774964838,0.27586206896551724,Balanced
AD Nourse,SA,1935,1951,16,34,62,7,2960,231,53.81,15294.233333333334,63.88,9,14,3,115,6,False,87.05882352941177,47.74193548387097,496,0.16756756756756758,0.2647058823529412,Balanced
SR Tendulkar,IND,1989,2013,24,200,329,33,15921,248,53.78,15294.233333333334,54.04,51,68,14,2058,69,True,79.605,48.39209726443769,8646,0.5430563406821179,0.255,Balanced
